"","WD24CD","wd_pop"
"224","E05001356",17060
"225","E05001357",13539
"226","E05001358",21346
"227","E05001359",21070
"228","E05001360",14118
"229","E05001361",15104
"230","E05001362",17656
"231","E05001363",15425
"232","E05001364",24676
"233","E05001365",26511
"234","E05001366",10449
"235","E05001367",13520
"236","E05001368",14330
"237","E05001369",11484
"238","E05001370",15302
"239","E05001371",13074
"240","E05001372",11225
"241","E05001373",14813
"242","E05001374",9969
"243","E05001375",10014
"244","E05001376",11198
"245","E05001377",9447
"246","E05001378",9958
"247","E05001379",10348
"248","E05001380",16278
"249","E05001381",10391
"250","E05001382",10192
"251","E05001383",15402
"252","E05001384",11171
"253","E05001385",11250
"254","E05001386",17260
"255","E05001387",12083
"256","E05001389",19624
"257","E05001390",19685
"258","E05001391",18425
"259","E05001392",17963
"260","E05001393",17386
"261","E05001396",20172
"262","E05001397",15165
"263","E05001398",20226
"264","E05001399",18485
"265","E05001400",20637
"266","E05001401",16062
"267","E05001402",21249
"268","E05001403",16644
"269","E05001405",17583
"270","E05001407",20711
"271","E05001408",17261
"272","E05001409",17877
"273","E05001410",23494
"274","E05001444",19379
"275","E05001445",12745
"276","E05001446",24223
"277","E05001447",18261
"278","E05001448",12719
"279","E05001449",16340
"280","E05001450",13664
"281","E05001451",13453
"282","E05001452",14495
"283","E05001453",16115
"284","E05001454",16344
"285","E05001455",19161
"286","E05001456",12371
"287","E05001457",18150
"288","E05001458",14693
"289","E05001459",23497
"290","E05001460",23320
"291","E05001461",16597
"292","E05001462",13301
"293","E05001463",16391
"294","E05001464",21179
"295","E05001687",13435
"296","E05001688",9282
"297","E05001689",11597
"298","E05001690",15473
"299","E05001691",10936
"300","E05001692",9484
"301","E05001693",15034
"302","E05001694",15070
"303","E05001695",15598
"304","E05001696",9107
"305","E05001697",10393
"306","E05001698",15139
"307","E05001699",6036
"308","E05001700",16113
"309","E05001701",11392
"310","E05001702",16698
"311","E05001703",9998
"312","E05001705",16294
"313","E05001706",11226
"314","E05001707",13563
"315","E05001708",11185
"316","E05001709",14954
"317","E05001710",9665
"318","E05001711",11625
"319","E05001713",9865
"320","E05001714",13228
"321","E05001715",11197
"322","E05001716",7846
"323","E05001717",10761
"324","E05001718",11151
"325","E05001719",14014
"326","E05001720",14155
"327","E05001721",8296
"328","E05001722",9945
"329","E05001723",10153
"330","E05001724",5536
"331","E05001725",11482
"332","E05001726",9465
"333","E05001727",9122
"334","E05002078",12434
"335","E05002079",10520
"336","E05002080",20980
"337","E05002081",10554
"338","E05002082",11791
"339","E05002083",10371
"340","E05002084",11382
"341","E05002085",12287
"342","E05002086",28216
"343","E05002087",11208
"344","E05002088",5771
"345","E05002089",8043
"346","E05002090",13000
"347","E05002091",10227
"348","E05002092",13569
"349","E05002093",10893
"350","E05002094",26367
"351","E05002095",11535
"352","E05002096",12323
"353","E05002097",13901
"354","E05002212",8173
"355","E05002213",9996
"356","E05002214",9594
"357","E05002215",9162
"358","E05002216",10174
"359","E05002217",9873
"360","E05002218",14233
"361","E05002219",15235
"362","E05002220",10601
"363","E05002221",12092
"364","E05002222",10765
"365","E05002223",9365
"366","E05002224",8262
"367","E05002225",13615
"368","E05002226",8769
"369","E05002227",8572
"370","E05002228",8903
"371","E05002229",9384
"372","E05002230",8451
"373","E05002231",8384
"374","E05002232",6277
"375","E05002233",7173
"376","E05002234",6428
"377","E05002235",12138
"378","E05002236",8411
"379","E05002237",5828
"380","E05002238",5511
"381","E05002239",9943
"382","E05002240",6306
"383","E05002241",6493
"384","E05002242",7272
"385","E05002243",6812
"386","E05002244",5951
"387","E05002245",6288
"388","E05002246",9298
"389","E05002247",10252
"390","E05002248",25619
"391","E05002441",12368
"392","E05002442",12764
"393","E05002443",29378
"394","E05002444",16254
"395","E05002445",25349
"396","E05002446",14486
"397","E05002447",10218
"398","E05002448",11739
"399","E05002449",12527
"400","E05002450",14086
"401","E05002451",14153
"402","E05002452",13017
"403","E05002453",11360
"404","E05002454",16225
"405","E05004096",5376
"406","E05004097",6786
"407","E05004098",16345
"408","E05004099",13756
"409","E05004100",3139
"410","E05004101",5086
"411","E05004105",8088
"412","E05004106",8571
"413","E05004108",4817
"414","E05004109",7826
"415","E05004110",6719
"416","E05004111",7765
"417","E05004112",5605
"418","E05004113",6195
"419","E05004114",8920
"420","E05004115",8996
"421","E05004116",4969
"422","E05004117",6989
"423","E05004118",8433
"424","E05004119",5198
"425","E05004190",4037
"426","E05004191",4344
"427","E05004192",3829
"428","E05004193",3539
"429","E05004194",3417
"430","E05004195",4015
"431","E05004196",2056
"432","E05004197",7159
"433","E05004198",2927
"434","E05004199",3877
"435","E05004200",3609
"436","E05004201",3302
"437","E05004202",4156
"438","E05004203",2162
"439","E05004204",1802
"440","E05004205",4123
"441","E05004206",3829
"442","E05004691",13350
"443","E05004692",4534
"444","E05004693",2245
"445","E05004694",10874
"446","E05004695",2684
"447","E05004696",4760
"448","E05004697",7101
"449","E05004698",6415
"450","E05004699",5950
"451","E05004700",9785
"452","E05004701",8011
"453","E05004702",7497
"454","E05004703",4715
"455","E05004704",6334
"456","E05004705",8997
"457","E05004706",4939
"458","E05004707",5305
"459","E05004708",8684
"460","E05004709",3323
"461","E05004710",2870
"462","E05004711",5016
"463","E05004712",3796
"464","E05004713",4701
"465","E05004714",5674
"466","E05004715",5502
"467","E05005010",2035
"468","E05005011",1746
"469","E05005012",5889
"470","E05005013",5454
"471","E05005014",4078
"472","E05005016",4537
"473","E05005017",5709
"474","E05005018",3639
"475","E05005021",3911
"476","E05005026",3869
"477","E05005027",5067
"478","E05005028",4787
"479","E05005029",10466
"480","E05005031",4380
"481","E05005032",5886
"482","E05005081",3923
"483","E05005082",3352
"484","E05005083",6057
"485","E05005084",3882
"486","E05005085",8083
"487","E05005086",4087
"488","E05005087",5688
"489","E05005088",9056
"490","E05005089",6260
"491","E05005090",7244
"492","E05005091",4266
"493","E05005092",1980
"494","E05005093",6854
"495","E05005094",3702
"496","E05005095",5412
"497","E05005096",7429
"498","E05005097",8933
"499","E05005098",8661
"500","E05005099",4124
"501","E05005100",8987
"502","E05005101",7421
"503","E05005102",3916
"504","E05005103",6713
"505","E05005150",6515
"506","E05005151",4975
"507","E05005152",4869
"508","E05005153",3904
"509","E05005154",5984
"510","E05005155",12672
"511","E05005156",4674
"512","E05005157",5605
"513","E05005158",7285
"514","E05005159",8103
"515","E05005160",8211
"516","E05005161",6551
"517","E05005162",5675
"518","E05005163",5701
"519","E05005164",4409
"520","E05005206",6899
"521","E05005207",5640
"522","E05005208",2952
"523","E05005209",6875
"524","E05005210",5487
"525","E05005211",4708
"526","E05005212",3648
"527","E05005213",3315
"528","E05005214",4880
"529","E05005215",4259
"530","E05005216",5289
"531","E05005217",3591
"532","E05005218",6846
"533","E05005219",4139
"534","E05005220",4673
"535","E05005221",5021
"536","E05005479",3816
"537","E05005480",2550
"538","E05005481",7618
"539","E05005482",5177
"540","E05005483",11029
"541","E05005484",4112
"542","E05005485",8676
"543","E05005486",6086
"544","E05005487",8846
"545","E05005488",10847
"546","E05005489",9861
"547","E05005490",6136
"548","E05005491",5648
"549","E05005492",10842
"550","E05005493",6536
"551","E05005494",3035
"552","E05005495",2906
"553","E05005496",3644
"554","E05005497",1655
"555","E05005498",2133
"556","E05005499",1491
"557","E05005500",3956
"558","E05005501",4380
"559","E05005502",7308
"560","E05005503",4056
"561","E05005504",5497
"562","E05005505",4124
"563","E05005506",3438
"564","E05005507",2331
"565","E05005508",1886
"566","E05005509",1992
"567","E05005510",1513
"568","E05005531",4156
"569","E05005532",6049
"570","E05005533",5309
"571","E05005534",3619
"572","E05005535",3572
"573","E05005536",8591
"574","E05005537",5619
"575","E05005538",6692
"576","E05005539",4827
"577","E05005540",5959
"578","E05005644",5534
"579","E05005645",6694
"580","E05005646",2304
"581","E05005647",2069
"582","E05005648",3685
"583","E05005649",6702
"584","E05005650",7419
"585","E05005651",7139
"586","E05005652",11528
"587","E05005653",5926
"588","E05005654",4135
"589","E05005655",5267
"590","E05005656",4354
"591","E05005657",6734
"592","E05005658",4688
"593","E05005659",4540
"594","E05005660",2213
"595","E05005661",3708
"596","E05005757",2708
"597","E05005758",8700
"598","E05005759",5775
"599","E05005760",6721
"600","E05005761",2295
"601","E05005762",2266
"602","E05005764",2295
"603","E05005765",2614
"604","E05005766",2958
"605","E05005767",3973
"606","E05005768",6322
"607","E05005769",5882
"608","E05005770",2652
"609","E05005771",4825
"610","E05005772",2715
"611","E05005773",6776
"612","E05005774",3149
"613","E05005775",2460
"614","E05005777",4628
"615","E05005778",10123
"616","E05005779",4346
"617","E05005780",4175
"618","E05005781",6143
"619","E05005782",7186
"620","E05005783",5987
"621","E05005784",6254
"622","E05005785",6521
"623","E05005786",3632
"624","E05005787",4053
"625","E05005788",9966
"626","E05005789",6087
"627","E05005790",4445
"628","E05005791",2272
"629","E05005792",4781
"630","E05005793",4835
"631","E05005794",9962
"632","E05005795",9563
"633","E05005796",3948
"634","E05005797",4919
"635","E05005798",7057
"636","E05005799",4655
"637","E05005800",3875
"638","E05006377",2175
"639","E05006378",2685
"640","E05006380",1521
"641","E05006381",2377
"642","E05006382",6382
"643","E05006383",6096
"644","E05006384",3731
"645","E05006385",5739
"646","E05006386",2264
"647","E05006387",7132
"648","E05006388",1973
"649","E05006389",2155
"650","E05006390",4004
"651","E05006391",2013
"652","E05006392",2407
"653","E05006393",3339
"654","E05006394",4634
"655","E05006395",2265
"656","E05006396",6074
"657","E05006397",7294
"658","E05006399",10469
"659","E05006400",7338
"660","E05006401",12840
"661","E05006627",1806
"662","E05006628",2147
"663","E05006629",3620
"664","E05006632",4478
"665","E05006634",3687
"666","E05006637",7411
"667","E05006638",2587
"668","E05006639",6900
"669","E05006640",4595
"670","E05006642",5413
"671","E05006643",1950
"672","E05006644",1981
"673","E05006645",4820
"674","E05006646",3819
"675","E05006647",1607
"676","E05006648",5687
"677","E05006649",6440
"678","E05006650",3195
"679","E05006651",8494
"680","E05006652",5778
"681","E05006653",4643
"682","E05007039",2548
"683","E05007040",1463
"684","E05007041",4515
"685","E05007042",1289
"686","E05007043",4240
"687","E05007044",1533
"688","E05007045",4797
"689","E05007046",3968
"690","E05007047",1550
"691","E05007048",2879
"692","E05007049",2832
"693","E05007050",2894
"694","E05007051",6505
"695","E05007052",4576
"696","E05007053",4909
"697","E05007054",2538
"698","E05007055",1660
"699","E05007056",4161
"700","E05007057",1751
"701","E05007058",1838
"702","E05007059",1568
"703","E05007060",5306
"704","E05007061",5450
"705","E05007062",6595
"706","E05007063",3533
"707","E05007064",1587
"708","E05007065",2524
"709","E05007066",8230
"710","E05007067",6281
"711","E05007068",5694
"712","E05007069",11166
"713","E05007070",5782
"714","E05007071",7692
"715","E05007072",7093
"716","E05007073",6073
"717","E05007074",5483
"718","E05007075",8672
"719","E05007117",14096
"720","E05007118",12995
"721","E05007119",8192
"722","E05007120",6426
"723","E05007121",7373
"724","E05007122",10846
"725","E05007123",7342
"726","E05007124",12799
"727","E05007125",7303
"728","E05007126",7701
"729","E05007127",7338
"730","E05007128",5380
"731","E05007129",6064
"732","E05007130",9032
"733","E05007131",9118
"734","E05007132",6975
"735","E05007362",7374
"736","E05007363",6089
"737","E05007364",8729
"738","E05007365",7279
"739","E05007366",5898
"740","E05007367",8054
"741","E05007368",5579
"742","E05007369",7300
"743","E05007370",10810
"744","E05007371",5975
"745","E05007372",7585
"746","E05007373",8520
"747","E05007374",7272
"748","E05007457",4979
"749","E05007458",3710
"750","E05007459",7213
"751","E05007460",3521
"752","E05007461",6252
"753","E05007462",5787
"754","E05007463",4269
"755","E05007464",10219
"756","E05007465",7505
"757","E05007466",4113
"758","E05007467",3417
"759","E05007468",4682
"760","E05007469",2815
"761","E05007470",3128
"762","E05007471",3115
"763","E05007472",2692
"764","E05007473",3408
"765","E05007562",3590
"766","E05007563",5150
"767","E05007564",3684
"768","E05007565",4513
"769","E05007566",4440
"770","E05007567",3989
"771","E05007568",3892
"772","E05007569",4510
"773","E05007570",3904
"774","E05007571",6914
"775","E05007572",3633
"776","E05007573",3698
"777","E05007574",4598
"778","E05007575",5029
"779","E05007694",9743
"780","E05007695",7935
"781","E05007696",18243
"782","E05007697",4683
"783","E05007698",8286
"784","E05007699",8332
"785","E05007700",8228
"786","E05007701",7180
"787","E05007702",7539
"788","E05007703",7569
"789","E05007704",8001
"790","E05007705",7678
"791","E05007706",7003
"792","E05008136",4248
"793","E05008137",4384
"794","E05008138",3604
"795","E05008139",3436
"796","E05008140",6866
"797","E05008141",11877
"798","E05008142",3895
"799","E05008143",3672
"800","E05008144",4786
"801","E05008145",7714
"802","E05008146",5868
"803","E05008147",4359
"804","E05008148",3878
"805","E05008149",4631
"806","E05008150",3845
"807","E05008151",3768
"808","E05008152",2638
"809","E05008153",8994
"810","E05008154",4101
"811","E05008155",6851
"812","E05008156",3377
"813","E05008157",6825
"814","E05008158",3237
"815","E05008159",3974
"816","E05008160",7368
"817","E05008161",3028
"818","E05008162",5043
"819","E05008163",3516
"820","E05008164",3470
"821","E05008165",4048
"822","E05008166",3024
"823","E05008167",5373
"824","E05008168",4493
"825","E05008169",5926
"826","E05008170",8555
"827","E05008171",4948
"828","E05008172",4330
"829","E05008173",4053
"830","E05008174",4114
"831","E05008178",4550
"832","E05008179",4453
"833","E05008180",7182
"834","E05008181",4945
"835","E05008183",4082
"836","E05008186",4669
"837","E05008187",5609
"838","E05008188",5216
"839","E05008189",8851
"840","E05008190",3763
"841","E05008191",5219
"842","E05008192",4457
"843","E05008193",3505
"844","E05008194",8130
"845","E05008195",6805
"846","E05008196",4849
"847","E05008198",4326
"848","E05008558",15052
"849","E05008559",16051
"850","E05008560",17346
"851","E05008561",15399
"852","E05008562",14996
"853","E05008610",5342
"854","E05008611",11727
"855","E05008612",5282
"856","E05008613",7989
"857","E05008614",7890
"858","E05008615",11211
"859","E05008616",7214
"860","E05008617",6990
"861","E05008618",12127
"862","E05008619",15136
"863","E05008620",9335
"864","E05008621",19506
"865","E05008622",3463
"866","E05008623",7484
"867","E05008624",10496
"868","E05008625",8484
"869","E05008626",10336
"870","E05008627",4290
"871","E05008628",4204
"872","E05008629",10650
"873","E05008630",8635
"874","E05008631",5379
"875","E05008632",14298
"876","E05008633",9271
"877","E05008634",11302
"878","E05008635",3862
"879","E05008636",6908
"880","E05008637",7591
"881","E05008638",8159
"882","E05008639",6468
"883","E05008640",13920
"884","E05008641",5738
"885","E05008642",9053
"886","E05008643",9263
"887","E05008644",7077
"888","E05008645",7515
"889","E05008646",8742
"890","E05008647",4745
"891","E05008648",4846
"892","E05008649",4928
"893","E05008650",4036
"894","E05008651",6187
"895","E05008652",4520
"896","E05008653",4164
"897","E05008654",4494
"898","E05008655",4190
"899","E05008656",5693
"900","E05008657",4980
"901","E05008658",10882
"902","E05008659",8319
"903","E05008660",5028
"904","E05008661",5189
"905","E05008809",7969
"906","E05008810",6824
"907","E05008811",9937
"908","E05008812",3040
"909","E05008813",9904
"910","E05008814",5002
"911","E05008815",5064
"912","E05008816",5837
"913","E05008817",6312
"914","E05008818",6250
"915","E05008819",4628
"916","E05008820",3720
"917","E05008821",11188
"918","E05008822",6025
"919","E05008823",7273
"920","E05008954",15353
"921","E05008955",6668
"922","E05008956",10036
"923","E05008957",11755
"924","E05008958",13386
"925","E05008960",10653
"926","E05008961",10936
"927","E05008962",12510
"928","E05008963",10441
"929","E05008965",10443
"930","E05008966",8411
"931","E05008967",12138
"932","E05008968",15153
"933","E05008969",20320
"934","E05008970",9735
"935","E05008971",11203
"936","E05008972",8076
"937","E05008974",9279
"938","E05008975",5703
"939","E05008976",4052
"940","E05008977",10375
"941","E05008979",6212
"942","E05008980",2190
"943","E05008981",7038
"944","E05008982",10693
"945","E05008983",5886
"946","E05008984",7606
"947","E05008985",6744
"948","E05008986",9489
"949","E05008988",3217
"950","E05008989",5892
"951","E05008990",7094
"952","E05008991",7454
"953","E05008992",7594
"954","E05008993",5564
"955","E05008994",7584
"956","E05008995",7383
"957","E05008996",7239
"958","E05008997",5505
"959","E05008998",5559
"960","E05008999",10529
"961","E05009000",10394
"962","E05009001",5078
"963","E05009002",8495
"964","E05009003",8672
"965","E05009004",7919
"966","E05009005",8117
"967","E05009006",7616
"968","E05009007",8354
"969","E05009008",13416
"970","E05009009",8545
"971","E05009010",12501
"972","E05009011",9188
"973","E05009030",7934
"974","E05009031",15966
"975","E05009032",8430
"976","E05009033",6249
"977","E05009034",9152
"978","E05009035",7995
"979","E05009036",14920
"980","E05009037",6576
"981","E05009038",9964
"982","E05009039",3114
"983","E05009040",6774
"984","E05009041",9978
"985","E05009042",6691
"986","E05009043",4530
"987","E05009044",3047
"988","E05009045",5588
"989","E05009046",7325
"990","E05009047",4127
"991","E05009048",9014
"992","E05009049",4391
"993","E05009050",3655
"994","E05009051",13316
"995","E05009052",6664
"996","E05009053",10608
"997","E05009054",9097
"998","E05009055",11130
"999","E05009056",7955
"1000","E05009057",5680
"1001","E05009058",1357
"1002","E05009059",7784
"1003","E05009060",14295
"1004","E05009061",6581
"1005","E05009062",6938
"1006","E05009063",9559
"1007","E05009064",15532
"1008","E05009065",5998
"1009","E05009066",6910
"1010","E05009067",7404
"1011","E05009068",6092
"1012","E05009069",6970
"1013","E05009070",19294
"1014","E05009071",4679
"1015","E05009072",3638
"1016","E05009073",10244
"1017","E05009074",8483
"1018","E05009075",6807
"1019","E05009076",6132
"1020","E05009077",6028
"1021","E05009078",8014
"1022","E05009079",6876
"1023","E05009080",12381
"1024","E05009081",12107
"1025","E05009082",9301
"1026","E05009083",7254
"1027","E05009084",8390
"1028","E05009085",3823
"1029","E05009086",10278
"1030","E05009087",9524
"1031","E05009088",7163
"1032","E05009089",8366
"1033","E05009090",7561
"1034","E05009091",3477
"1035","E05009092",7646
"1036","E05009093",11599
"1037","E05009094",4665
"1038","E05009095",3539
"1039","E05009096",5244
"1040","E05009097",4235
"1041","E05009098",5117
"1042","E05009099",3760
"1043","E05009100",3389
"1044","E05009101",3577
"1045","E05009102",4425
"1046","E05009103",4974
"1047","E05009104",3500
"1048","E05009106",3994
"1049","E05009107",3817
"1050","E05009108",4220
"1051","E05009109",5026
"1052","E05009110",4217
"1053","E05009111",3372
"1054","E05009112",3716
"1055","E05009113",3559
"1056","E05009114",6553
"1057","E05009115",6041
"1058","E05009116",11125
"1059","E05009117",5328
"1060","E05009118",6373
"1061","E05009119",4181
"1062","E05009120",3868
"1063","E05009121",3546
"1064","E05009122",3840
"1065","E05009123",4989
"1066","E05009124",5588
"1067","E05009125",3570
"1068","E05009126",4187
"1069","E05009127",4182
"1070","E05009128",3649
"1071","E05009129",3614
"1072","E05009130",7037
"1073","E05009131",4436
"1074","E05009132",4232
"1075","E05009133",3507
"1076","E05009134",4591
"1077","E05009135",6488
"1078","E05009136",4939
"1079","E05009137",4106
"1080","E05009139",3723
"1081","E05009141",2933
"1082","E05009142",4750
"1083","E05009143",5867
"1084","E05009144",3548
"1085","E05009145",4261
"1086","E05009146",5155
"1087","E05009147",5058
"1088","E05009148",4436
"1089","E05009149",6980
"1090","E05009151",4489
"1091","E05009152",4005
"1092","E05009153",3454
"1093","E05009154",4361
"1094","E05009155",3673
"1095","E05009156",4171
"1096","E05009157",5086
"1097","E05009158",4132
"1098","E05009281",8150
"1099","E05009282",8370
"1100","E05009283",5751
"1101","E05009284",2736
"1102","E05009285",4859
"1103","E05009286",4761
"1104","E05009287",3648
"1105","E05009288",4291
"1106","E05009291",9097
"1107","E05009292",33406
"1108","E05009297",4706
"1109","E05009302",8782
"1110","E05009304",17701
"1111","E05009305",2938
"1112","E05009308",4043
"1113","E05009309",6091
"1114","E05009310",1108
"1115","E05009313",7352
"1116","E05009317",21574
"1117","E05009318",24171
"1118","E05009319",18016
"1119","E05009320",12780
"1120","E05009321",10707
"1121","E05009322",12859
"1122","E05009323",37339
"1123","E05009324",13429
"1124","E05009325",19552
"1125","E05009326",5889
"1126","E05009327",19352
"1127","E05009328",7911
"1128","E05009329",13746
"1129","E05009330",13113
"1130","E05009331",20095
"1131","E05009332",12766
"1132","E05009333",18876
"1133","E05009334",11040
"1134","E05009335",13164
"1135","E05009336",31525
"1136","E05009352",8272
"1137","E05009353",6466
"1138","E05009354",9581
"1139","E05009355",9326
"1140","E05009356",8019
"1141","E05009357",8627
"1142","E05009358",10180
"1143","E05009359",9708
"1144","E05009360",11101
"1145","E05009361",7669
"1146","E05009362",7619
"1147","E05009363",2568
"1148","E05009364",8569
"1149","E05009365",3973
"1150","E05009367",7763
"1151","E05009368",13984
"1152","E05009369",11758
"1153","E05009370",9316
"1154","E05009371",8555
"1155","E05009372",12679
"1156","E05009373",11193
"1157","E05009374",12154
"1158","E05009375",13582
"1159","E05009376",17819
"1160","E05009377",18919
"1161","E05009378",13417
"1162","E05009379",11020
"1163","E05009380",12635
"1164","E05009381",13180
"1165","E05009382",8533
"1166","E05009383",14977
"1167","E05009384",9802
"1168","E05009385",13378
"1169","E05009386",11246
"1170","E05009387",11757
"1171","E05009388",10311
"1172","E05009389",18453
"1173","E05009390",12093
"1174","E05009391",8257
"1175","E05009392",9444
"1176","E05009393",11805
"1177","E05009394",8071
"1178","E05009395",8985
"1179","E05009396",9039
"1180","E05009397",9240
"1181","E05009398",5886
"1182","E05009399",8761
"1183","E05009400",6192
"1184","E05009401",10909
"1185","E05009402",9470
"1186","E05009403",12434
"1187","E05009404",6291
"1188","E05009405",19836
"1189","E05009406",17271
"1190","E05009407",18079
"1191","E05009408",12254
"1192","E05009409",13512
"1193","E05009410",18584
"1194","E05009411",13463
"1195","E05009412",24062
"1196","E05009413",21699
"1197","E05009414",16501
"1198","E05009415",15978
"1199","E05009416",12551
"1200","E05009417",11783
"1201","E05009418",11969
"1202","E05009419",11067
"1203","E05009420",14745
"1204","E05009421",14573
"1205","E05009422",12354
"1206","E05009423",15992
"1207","E05009424",21247
"1208","E05009425",5734
"1209","E05009426",5881
"1210","E05009427",7313
"1211","E05009428",7757
"1212","E05009429",6199
"1213","E05009430",5944
"1214","E05009431",6485
"1215","E05009432",9334
"1216","E05009433",8683
"1217","E05009434",6083
"1218","E05009435",6001
"1219","E05009436",9211
"1220","E05009437",6278
"1221","E05009438",3699
"1222","E05009439",3271
"1223","E05009440",2867
"1224","E05009441",2615
"1225","E05009442",2729
"1226","E05009443",3573
"1227","E05009444",2805
"1228","E05009445",2611
"1229","E05009446",3697
"1230","E05009447",2813
"1231","E05009448",2867
"1232","E05009449",10600
"1233","E05009450",2803
"1234","E05009452",6182
"1235","E05009453",2940
"1236","E05009454",2827
"1237","E05009455",3060
"1238","E05009456",3352
"1239","E05009457",3905
"1240","E05009458",3260
"1241","E05009459",3834
"1242","E05009460",4648
"1243","E05009461",3504
"1244","E05009462",3222
"1245","E05009463",2643
"1246","E05009464",3204
"1247","E05009465",3656
